t_s,h_Wm2K
0.000000000000000000e+00,5.134227273861390017e+01
2.512562814070351883e-02,5.134227273861390017e+01
5.025125628140703765e-02,5.134227273861390017e+01
7.537688442211055995e-02,1.656929532875105451e+03
1.000000000000000056e-01,1.624993814540315952e+03
1.005025125628140753e-01,1.624348722619046612e+03
1.256281407035176045e-01,1.592429046904408324e+03
1.507537688442211199e-01,1.561157089892897602e+03
1.758793969849246352e-01,1.530519707982363116e+03
2.000000000000000111e-01,1.501692874116760777e+03
2.010050251256281506e-01,1.500504024282541423e+03
2.261306532663316660e-01,1.471097423202898199e+03
2.512562814070352091e-01,1.442287545150299138e+03
2.763819095477387244e-01,1.414062281334270210e+03
3.015075376884422398e-01,1.386409768677676311e+03
3.266331658291457551e-01,1.359318384830669174e+03
3.517587939698492705e-01,1.332776743285813836e+03
3.768844221105527859e-01,1.306773688592341614e+03
4.020100502512563012e-01,1.281298291667512558e+03
4.271356783919598166e-01,1.256339845203124469e+03
4.522613065326633319e-01,1.231887859165230566e+03
4.773869346733668473e-01,1.207932056385178839e+03
5.000000000000000000e-01,1.186787744611182461e+03
5.025125628140704181e-01,1.184462368240118394e+03
5.276381909547739335e-01,1.161468930421159030e+03
5.527638190954774489e-01,1.138942078787400305e+03
5.778894472361809642e-01,1.116872345304095461e+03
6.030150753768844796e-01,1.095250454063236020e+03
6.281407035175879949e-01,1.074067317384888383e+03
6.532663316582915103e-01,1.053314031997641905e+03
6.783919597989950256e-01,1.032981875296565022e+03
7.035175879396985410e-01,1.013062301677093842e+03
7.286432160804020564e-01,9.935469389433159222e+02
7.537688442211055717e-01,9.744275847891360627e+02
7.788944723618090871e-01,9.556962033508476679e+02
8.040201005025126024e-01,9.373449218296593699e+02
8.291457286432161178e-01,9.193660271827578754e+02
8.542713567839196331e-01,9.017519628815175565e+02
8.793969849246231485e-01,8.844953257354902689e+02
9.045226130653266639e-01,8.675888627808451474e+02
9.296482412060301792e-01,8.510254682319496169e+02
9.547738693467336946e-01,8.347981804948057061e+02
9.798994974874372099e-01,8.189001792410944063e+02
1.000000000000000000e+00,8.064143696715565284e+02
1.005025125628140836e+00,8.033247825415905936e+02
1.030150753768844352e+00,7.880654440577494597e+02
1.055276381909547867e+00,7.731157502902800616e+02
1.080402010050251382e+00,7.584694178835521825e+02
1.105527638190954898e+00,7.441202909847017963e+02
1.130653266331658413e+00,7.300623386563272561e+02
1.155778894472361928e+00,7.162896523416856098e+02
1.180904522613065444e+00,7.027964433813269807e+02
1.206030150753768959e+00,6.895770405801213201e+02
1.231155778894472475e+00,6.766258878236549208e+02
1.256281407035175990e+00,6.639375417429962454e+02
1.281407035175879505e+00,6.515066694268479068e+02
1.306532663316583021e+00,6.393280461801244883e+02
1.331658291457286536e+00,6.273965533280128284e+02
1.356783919597990051e+00,6.157071760645944778e+02
1.381909547738693567e+00,6.042550013451215136e+02
1.407035175879397082e+00,5.930352158210654352e+02
1.432160804020100597e+00,5.820431038170655711e+02
1.457286432160804113e+00,5.712740453489323045e+02
1.482412060301507628e+00,5.607235141818667898e+02
1.507537688442211143e+00,5.503870759280857783e+02
1.532663316582914659e+00,5.402603861830473306e+02
1.557788944723618174e+00,5.303391886994991182e+02
1.582914572864321689e+00,5.206193135985765821e+02
1.608040201005025205e+00,5.110966756172042551e+02
1.633165829145728720e+00,5.017672723910590094e+02
1.658291457286432236e+00,4.926271827723769547e+02
1.683417085427135751e+00,4.836725651818949245e+02
1.708542713567839266e+00,4.748996559942351041e+02
1.733668341708542782e+00,4.663047679560531833e+02
1.758793969849246297e+00,4.578842886362865556e+02
1.783919597989949812e+00,4.496346789078487518e+02
1.809045226130653328e+00,4.415524714601352798e+02
1.834170854271356843e+00,4.336342693417127521e+02
1.859296482412060358e+00,4.258767445325805738e+02
1.884422110552763874e+00,4.182766365454037896e+02
1.909547738693467389e+00,4.108307510551313726e+02
1.934673366834170904e+00,4.035359585564201552e+02
1.959798994974874420e+00,3.963891930483054011e+02
1.984924623115577935e+00,3.893874507455595904e+02
2.000000000000000000e+00,3.852547897859534487e+02
2.010050251256281673e+00,3.825277888162017916e+02
2.035175879396985188e+00,3.758073241446263637e+02
2.060301507537688703e+00,3.692232321198284808e+02
2.085427135678392219e+00,3.627727454482209168e+02
2.110552763819095734e+00,3.564531529905403886e+02
2.135678391959799249e+00,3.502617986223560820e+02
2.160804020100502765e+00,3.441960801177003759e+02
2.185929648241206280e+00,3.382534480553538287e+02
2.211055276381909795e+00,3.324314047473227447e+02
2.236180904522613311e+00,3.267275031890619630e+02
2.261306532663316826e+00,3.211393460309986949e+02
2.286432160804020342e+00,3.156645845709257401e+02
2.311557788944723857e+00,3.103009177668435541e+02
2.336683417085427372e+00,3.050460912698310949e+02
2.361809045226130888e+00,2.998978964765437922e+02
2.386934673366834403e+00,2.948541696009372117e+02
2.412060301507537918e+00,2.899127907648284577e+02
2.437185929648241434e+00,2.850716831069107684e+02
2.462311557788944949e+00,2.803288119098494349e+02
